category,prompt,run,scenario,trial,run_folder,coverage_pct,collisions_total,coverage_csv,bump_csv
medium,prompt_3,run_1,middle_circle,trial_1,run_20260417_231105,50.0,50,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_1/middle_circle/trial_1/run_20260417_231105/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_1/middle_circle/trial_1/run_20260417_231105/bumps_global_231105.csv
medium,prompt_3,run_1,middle_circle,trial_2,run_20260417_231429,48.0,16,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_1/middle_circle/trial_2/run_20260417_231429/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_1/middle_circle/trial_2/run_20260417_231429/bumps_global_231430.csv
medium,prompt_3,run_1,middle_circle,trial_3,run_20260417_231754,48.0,40,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_1/middle_circle/trial_3/run_20260417_231754/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_1/middle_circle/trial_3/run_20260417_231754/bumps_global_231755.csv
medium,prompt_3,run_2,middle_circle,trial_1,run_20260417_233134,58.0,27,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_2/middle_circle/trial_1/run_20260417_233134/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_2/middle_circle/trial_1/run_20260417_233134/bumps_global_233135.csv
medium,prompt_3,run_2,middle_circle,trial_2,run_20260417_233459,55.0,12,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_2/middle_circle/trial_2/run_20260417_233459/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_2/middle_circle/trial_2/run_20260417_233459/bumps_global_233500.csv
medium,prompt_3,run_2,middle_circle,trial_3,run_20260417_233824,56.0,6,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_2/middle_circle/trial_3/run_20260417_233824/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_3/run_2/middle_circle/trial_3/run_20260417_233824/bumps_global_233825.csv
medium,prompt_4,run_1,middle_circle,trial_1,run_20260417_235204,47.0,16,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_1/middle_circle/trial_1/run_20260417_235204/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_1/middle_circle/trial_1/run_20260417_235204/bumps_global_235205.csv
medium,prompt_4,run_1,middle_circle,trial_2,run_20260417_235529,51.0,17,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_1/middle_circle/trial_2/run_20260417_235529/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_1/middle_circle/trial_2/run_20260417_235529/bumps_global_235530.csv
medium,prompt_4,run_1,middle_circle,trial_3,run_20260417_235854,52.0,32,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_1/middle_circle/trial_3/run_20260417_235854/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_1/middle_circle/trial_3/run_20260417_235854/bumps_global_235855.csv
medium,prompt_4,run_2,middle_circle,trial_1,run_20260418_001234,49.0,34,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_2/middle_circle/trial_1/run_20260418_001234/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_4/run_2/middle_circle/trial_1/run_20260418_001234/bumps_global_001234.csv
