wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783680814.387336,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.066665,,global_pose,"bearing_deg=-45.312,zone_reason=front_sector"
1783680814.487267,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.065090,,global_pose,"bearing_deg=-45.234,zone_reason=front_sector"
1783680814.587353,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.063521,,global_pose,"bearing_deg=-45.156,zone_reason=front_sector"
1783680814.687346,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.061954,,global_pose,"bearing_deg=-45.078,zone_reason=front_sector"
1783680814.787356,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.060389,,global_pose,"bearing_deg=-45.000,zone_reason=front_sector"
1783680814.887356,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.058826,,global_pose,"bearing_deg=-44.922,zone_reason=front_sector"
1783680814.987314,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.057265,,global_pose,"bearing_deg=-44.843,zone_reason=front_sector"
1783680815.087286,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.055707,,global_pose,"bearing_deg=-44.764,zone_reason=front_sector"
1783680815.187288,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.054150,,global_pose,"bearing_deg=-44.685,zone_reason=front_sector"
1783680815.287331,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.214649,,global_pose,"bearing_deg=-32.866,zone_reason=front_sector"
1783680815.287404,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.052595,,global_pose,"bearing_deg=-44.606,zone_reason=front_sector"
1783680815.387334,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.166322,,global_pose,"bearing_deg=-32.975,zone_reason=front_sector"
1783680815.387411,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.051042,,global_pose,"bearing_deg=-44.526,zone_reason=front_sector"
1783680815.487350,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.117999,,global_pose,"bearing_deg=-33.093,zone_reason=front_sector"
1783680815.487426,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.049491,,global_pose,"bearing_deg=-44.446,zone_reason=front_sector"
1783680815.587381,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.069681,,global_pose,"bearing_deg=-33.222,zone_reason=front_sector"
1783680815.587450,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.047943,,global_pose,"bearing_deg=-44.366,zone_reason=front_sector"
1783680815.687290,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.021370,,global_pose,"bearing_deg=-33.363,zone_reason=front_sector"
1783680815.687340,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.046396,,global_pose,"bearing_deg=-44.286,zone_reason=front_sector"
1783680815.787397,robot_3,robot_4,sent,,CORNER,0.973065,,global_pose,"bearing_deg=-33.519,zone_reason=front_sector"
1783680815.787467,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.044851,,global_pose,"bearing_deg=-44.205,zone_reason=front_sector"
1783680815.887444,robot_3,robot_4,sent,,CORNER,0.933474,,global_pose,"bearing_deg=-33.478,zone_reason=front_sector"
1783680815.887527,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.039182,,global_pose,"bearing_deg=-44.388,zone_reason=front_sector"
1783680815.987317,robot_3,robot_4,sent,,CORNER,0.924176,,global_pose,"bearing_deg=-31.550,zone_reason=front_sector"
1783680815.987359,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.024649,,global_pose,"bearing_deg=-45.140,zone_reason=front_sector"
1783680816.087442,robot_3,robot_4,sent,,CORNER,0.937541,,global_pose,"bearing_deg=-28.493,zone_reason=front_sector"
1783680816.087588,robot_3,robot_0,sent,,CORNER,0.999751,,global_pose,"bearing_deg=-46.583,zone_reason=front_sector"
1783680816.187487,robot_3,robot_4,sent,,CORNER,0.951229,,global_pose,"bearing_deg=-25.194,zone_reason=front_sector"
1783680816.187676,robot_3,robot_0,sent,,CORNER,0.976006,,global_pose,"bearing_deg=-48.140,zone_reason=front_sector"
1783680816.287464,robot_3,robot_4,sent,,CORNER,0.961860,,global_pose,"bearing_deg=-22.105,zone_reason=front_sector"
1783680816.287614,robot_3,robot_0,sent,,RIGHT,0.965219,,global_pose,"bearing_deg=-50.237,zone_reason=side_sector"
1783680816.387352,robot_3,robot_4,sent,,CORNER,0.952343,,global_pose,"bearing_deg=-20.325,zone_reason=front_sector"
1783680816.387466,robot_3,robot_0,sent,,RIGHT,0.972650,,global_pose,"bearing_deg=-52.700,zone_reason=side_sector"
1783680816.487471,robot_3,robot_4,sent,,CORNER,0.936968,,global_pose,"bearing_deg=-19.796,zone_reason=front_sector"
1783680816.487633,robot_3,robot_0,sent,,RIGHT,0.977200,,global_pose,"bearing_deg=-56.246,zone_reason=side_sector"
1783680816.587300,robot_3,robot_4,sent,,CORNER,0.922053,,global_pose,"bearing_deg=-20.771,zone_reason=front_sector"
1783680816.587368,robot_3,robot_0,sent,,RIGHT,0.980602,,global_pose,"bearing_deg=-59.800,zone_reason=side_sector"
1783680816.687332,robot_3,robot_4,sent,,CORNER,0.915964,,global_pose,"bearing_deg=-23.631,zone_reason=front_sector"
1783680816.687410,robot_3,robot_0,sent,,RIGHT,0.976805,,global_pose,"bearing_deg=-63.662,zone_reason=side_sector"
1783680816.787475,robot_3,robot_4,sent,,CORNER,0.908191,,global_pose,"bearing_deg=-26.628,zone_reason=front_sector"
1783680816.787639,robot_3,robot_0,sent,,RIGHT,0.979648,,global_pose,"bearing_deg=-67.405,zone_reason=side_sector"
1783680816.887480,robot_3,robot_4,sent,,CORNER,0.895225,,global_pose,"bearing_deg=-29.533,zone_reason=front_sector"
1783680816.887626,robot_3,robot_0,sent,,RIGHT,0.985887,,global_pose,"bearing_deg=-71.109,zone_reason=side_sector"
1783680816.987337,robot_3,robot_4,sent,,CORNER,0.882703,,global_pose,"bearing_deg=-32.438,zone_reason=front_sector"
1783680816.987409,robot_3,robot_0,sent,,RIGHT,0.992924,,global_pose,"bearing_deg=-74.837,zone_reason=side_sector"
1783680817.087417,robot_3,robot_4,sent,,CORNER,0.870505,,global_pose,"bearing_deg=-35.353,zone_reason=front_sector"
1783680817.087490,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.000706,,global_pose,"bearing_deg=-78.576,zone_reason=side_sector"
1783680817.187461,robot_3,robot_4,sent,,CORNER,0.865568,,global_pose,"bearing_deg=-38.775,zone_reason=front_sector"
1783680817.187554,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.000382,,global_pose,"bearing_deg=-82.546,zone_reason=side_sector"
1783680817.287352,robot_3,robot_4,sent,,CORNER,0.858581,,global_pose,"bearing_deg=-41.726,zone_reason=front_sector"
1783680817.287408,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.007577,,global_pose,"bearing_deg=-86.345,zone_reason=side_sector"
1783680817.387349,robot_3,robot_4,sent,,CORNER,0.847254,,global_pose,"bearing_deg=-44.688,zone_reason=front_sector"
1783680817.387416,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.017611,,global_pose,"bearing_deg=-90.086,zone_reason=side_sector"
1783680817.487305,robot_3,robot_4,sent,,CORNER,0.838119,,global_pose,"bearing_deg=-47.571,zone_reason=front_sector"
1783680817.487355,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.028393,,global_pose,"bearing_deg=-93.820,zone_reason=side_sector"
1783680817.587330,robot_3,robot_4,sent,,RIGHT,0.832317,,global_pose,"bearing_deg=-50.186,zone_reason=side_sector"
1783680817.587382,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.039922,,global_pose,"bearing_deg=-97.545,zone_reason=side_sector"
1783680817.687365,robot_3,robot_4,sent,,RIGHT,0.831126,,global_pose,"bearing_deg=-53.390,zone_reason=side_sector"
1783680817.687412,robot_3,robot_0,skipped,distance_above_warning_threshold,RIGHT,1.043678,,global_pose,"bearing_deg=-101.492,zone_reason=side_sector"
1783680817.787308,robot_3,robot_4,sent,,RIGHT,0.825081,,global_pose,"bearing_deg=-56.151,zone_reason=side_sector"
